Group,PMID,Title,Abstract,Authors,Keywords,Publication Year,Journal Title,Publication Type,
2D,20861787,High-speed single-breath-hold micro-computed tomography of thoracic and abdominal structures in mice using a simplified method for intubation.,"OBJECTIVES: Respiratory gating with and without controlled ventilation has been applied for in vivo micro-computed tomography (micro-CT) of thoracic and abdominal structures in mice. We describe a simplified method for intubation and demonstrate its applicability for single-breath-hold micro-CT in mice. METHODS: Mice (n = 10) were anesthetized, intubated, ventilated, and relaxed by intraperitoneal administration of rocuronium. Contrast-enhanced micro-CT of the complete thorax including the upper abdominal organs (80 kV; 37.5 μA; 190-degree rotation; 600 projections/20 seconds or 1200 projections/40 seconds; 39 × 39 × 50-μm voxel size) was performed with and without single-breath-hold technique. RESULTS: The simplified method of intubation was fast (<1 minute) and required no special hardware in all mice. Relaxation of mice allowed prolonged single-breath-hold imaging of up to 40 seconds. Diameter of smallest identifiable lung vessels was 100 μm. CONCLUSIONS: The presented simplified method for intubation in mice is fast, safe, and effective. Additional relaxation allowed high-resolution single-breath-hold micro-CT in mice.",Boll H; Bag S; Schambach SJ; Doyon F; Nittka S; Kramer M; Groden C; Brockmann MA,,2010,Journal of computer assisted tomography,"Journal Article; Research Support, Non-U.S. Gov't",
2D,32728537,Ideal Flap Cover for the Salvage of Exposed/Infected Cochlear Implants: A Case Series and Literature Review.,"With an increase in the number of cochlear implant surgeries there is bound to be an increase in the number of complications. A dreaded problem in any implant procedure is the implant exposure and infection. Explantation of the implant leads to an unpleasant situation to the patient and the surgeon owing to the high cost of the device. There are reports in the literature favouring the mandatory relocation or removal of the infected implants. On the other hand, there are convincing reports of implant salvage using skin, muscle or fascial flaps. In this paper we have analysed a series of cases referred to us from the departments of E.N.T for the management of implant exposure/infection. We have also reviewed similar case series reported in the literature. From 2014 to 2017 we operated six cases of exposed cochlear implant. We salvaged the implant in five cases, where we could do two layer coverage consisting of the inner temporoparietal fascial flap and outer scalp skin flap. In one case where the temporoparietal fascial flap could not be done as superficial temporal vessels were found to be injured in the previous surgery, the implant was removed due to persistent infection. All these cases were administered appropriate antibiotics for a minimum period of 3 weeks. Early double layer closure with inner temporoparietal fascial flap and outer scalp rotation flap coupled with appropriate antibiotics can salvage an infected, exposed implant.",Hariharan NC; Muthukumar R; Sridhar R; Shankari B; Valarmathy VS,Cochlear implant salvage; Exposed cochlear implant; Infected cochlear implant; Temporoparietal fascial flap,2020,Indian journal of otolaryngology and head and neck surgery : official publication,Journal Article,
2D,25642101,The freestyle pedicle perforator flap: a new favorite for the reconstruction of moderate-sized defects of the torso and extremities.,"BACKGROUND: Perforating vessels are a consistent anatomical finding and well described in the current literature. Any skin flap can be raised on a subcutaneous pedicle as long as it contains at least one supplying perforator. Perforator flaps have been interlinked with microsurgery and generally not widely performed by the general plastic surgeons. The aim of this paper is to present the simplicity of pedicled perforator flap reconstruction of moderate-sized defects of the extremities and torso. METHODS: We retrospectively reviewed the charts of 34 patients reconstructed using 34 freestyle pedicled perforator flaps for moderate-sized defects of the truncus and extremities. We registered indications, flap size and localization, success rate, and complications. Most importantly, we describe a simple approach to the design of freestyle pedicled perforator flaps and elaborate on technical aspects in the context of current literature. RESULTS: The reconstructive goals were achieved in all cases without any total flap loss or major complications. Minor complications occurred in 7/34 (21 %) cases consisting of venous congestion leading to distal tip necrosis or epidermolysis; partial flap loss was significant in 4 cases, however never more than 10 % of the total flap size. Reconstruction was performed on the lower limb in 13 cases, upper limb in 12, and 9 cases were on the truncus. The angle of rotation was 90° in 21 cases and 180° in 13 cases. The most common indication was reconstruction of oncological skin defects; melanoma 19, BCC 6, SCC 2, other 7. The flap size varied from 1.5×3 cm to 12×22 cm. The perforator identification was done by intraoperative exploration in 17 cases and by color Doppler ultrasonography in 17 cases. CONCLUSIONS: Moderate-sized defects of the torso and extremities can be successfully reconstructed by pedicled perforator flaps. The flap dissection is simple, and the complication rates comparable to other reconstructive options. Level of evidence IV, therapeutic study.",Gunnarsson GL; Jackson IT; Westvik TS; Thomsen JB,Extremities; Flap; Freestyle; Pedicle; Perforator; Propeller flaps; Torso,2015,European journal of plastic surgery,Journal Article,
2D,38460827,Three-dimensional volume rendering ultrasound for assessing placenta accreta spectrum severity and discriminating it from simple scar dehiscence.,"BACKGROUND: Prenatal ultrasound discrimination between placenta accreta spectrum and scar dehiscence with underlying nonadherent placenta is challenging both prenatally and intraoperatively, which often leads to overtreatment. In addition, accurate prenatal prediction of surgical difficulty and morbidity in placenta accreta spectrum is difficult, which precludes appropriate multidisciplinary planning. The advent of advanced 3-dimensional volume rendering and contrast enhancement techniques in modern ultrasound systems provides a comprehensive prenatal assessment, revealing details that are not discernible in traditional 2-dimensional imaging. OBJECTIVE: This study aimed to evaluate the use of 3-dimensional volume rendering ultrasound techniques in determining the severity of placenta accreta spectrum and distinguishing between placenta accreta spectrum and scar dehiscence with underlying nonadherent placenta. STUDY DESIGN: A prospective, cohort study was conducted between July 2022 and July 2023 in the fetal medicine unit of Dr Soetomo Academic General Hospital, Surabaya, Indonesia. All pregnant individuals with anterior low-lying placenta or placenta previa with a previous caesarean section who were referred with suspicion of placenta accreta spectrum were consented and screened using the standardised 2-dimensional and Doppler ultrasound imaging. Additional 3-dimensional volumes were obtained from the sagittal section of the uterus with a filled urinary bladder. These were analyzed by rotating the region of interest to be perpendicular to the uterovesical interface. The primary outcomes were the clinical and histologic severity in the cases of placenta accreta spectrum and correct diagnosis of dehiscence with nonadherent placenta underneath. The strength of association between ultrasound and clinical outcomes was determined. Multivariate logistic regression analyses and diagnostic testing of accuracy were used to analyze the data. RESULTS: A total of 70 patients (56 with placenta accreta spectrum and 14 with scar dehiscence) were included in the analysis. Multivariate logistic regression of all 2-dimensional and 3-dimensional signs revealed the 3-dimensional loss of clear zone (P<.001) and the presence of bridging vessels on 2-dimensional Doppler ultrasound (P=.027) as excellent predictors in differentiating scar dehiscence and placenta accreta spectrum. The 3-dimensional loss of clear zone demonstrated a high diagnostic accuracy with an area under the curve of 0.911 (95% confidence interval, 0.819-1.002), with a sensitivity of 89.3% (95% confidence interval, 78.1-95.97%) and specificity of 92.9% (95% confidence interval, 66.1-99.8%). The presence of bridging vessels on 2-dimensional Doppler demonstrated an area under the curve of 0.848 (95% confidence interval, 0.714-0.982) with a sensitivity of 91.1% (95% confidence interval, 80.4-97.0%) and specificity of 78.6% (95% confidence interval, 49.2-95.3%). A subgroup analysis among the placenta accreta spectrum group revealed that the presence of a 3-dimensional disrupted bladder serosa with obliteration of the vesicouterine space was associated with vesicouterine adherence (P<.001). CONCLUSION: Three-dimensional volume rendering ultrasound is a promising tool for effective discrimination between scar dehiscence with underlying nonadherent placenta and placenta accreta spectrum. It also shows potential in predicting the clinical severity with urinary bladder involvement in cases of placenta accreta spectrum.",Adu-Bredu TK; Ridwan R; Aditiawarman A; Ariani G; Collins SL; Aryananda RA,3D ultrasound; PAS disorders; bladder injury; cesarean hysterectomy; crystal vue; placenta accreta; placenta previa; silhouette; tramline sign,2024,American journal of obstetrics & gynecology MFM,Journal Article,
2D,17296999,Dynamic 3D-CT angiography.,"BACKGROUND AND PURPOSE: 3D-CT angiography (3D-CTA), a vessel-cast technique, is useful in the diagnosis of patients with brain lesions and cerebrovascular disease. However, it provides no information on blood-flow dynamics. Therefore, we developed a new technique, dynamic 3D-CTA (d3D-CTA), that yields 3D images of the vasculature and allows assessment of the hemodynamics and of the cerebral perfusion. METHODS: We subjected 12 patients to d3D-CTA; 7 had brain tumors, 4 had arteriovenous malformations (AVMs), and 1 presented with cervical internal carotid artery occlusion. d3D-CTA was performed with a multidetector-row CT scanner with 64 detectors; the parameters were 0.5-mm section thickness, 0.5 seconds per rotation, 135 kV, and 150 mA. Contrast medium (total volume, 30-35 mL) was injected at 6-7 mL/s; scanning was started after a 5-second delay. Scans were generated with volume-rendering reconstruction and displayed in cine mode. RESULTS: We succeeded in obtaining d3D-CTA scans in all cases. The scans yielded 3D information on the vascular structures and hemodynamics and on the status of the cerebral perfusion. CONCLUSION: d3D-CTA facilitates the acquisition of information on the vascular and cerebral dynamic blood flow on 3D-CTA images. Despite the relatively high radiation exposure and contrast injection speed and its limited scan range, this technique is useful for the diagnosis of patients with brain tumors or cerebrovascular disease and for treatment planning.",Matsumoto M; Kodama N; Endo Y; Sakuma J; Suzuki K; Sasaki T; Murakami K; Suzuki K; Katakura T; Shishido F,,2007,AJNR. American journal of neuroradiology,Case Reports; Evaluation Study; Journal Article,
2D,17008986,Diagnostic value of 64-slice multi-detector row cardiac CTA in symptomatic patients.,"Cardiac multi-detector-row computed tomography (MDCT) angiography has shown high levels of sensitivity and especially negative predictive value regarding the diagnosis of coronary artery disease (CAD). This study was designed to determine the value of a 64-slice-MDCT scanner in comparison to invasive coronary angiography for the detection of CAD in a population of symptomatic patients. Fifty-one patients with suspected CAD underwent conventional coronary angiography and ECG-gated cardiac 64-slice-MDCT angiography with a rotation time of 330 ms, a collimation of 64x0.6 mm and a slice thickness of 0.75 mm. Blinded patient- and segment-based analysis was performed for the detection of stenoses >or=70% of the vessel lumen. 95% of all coronary segments were assessable by MDCT angiography. Patient-based (segment-based) analysis revealed a sensitivity of 97.8% (86.7%), specificity of 50% (95.2%), positive predictive value of 93.6% (75.2%) and negative predictive value of 75% (97.7%). Inter-rater agreement revealed a kappa-value of 0.558 (0.722). In this symptomatic patient group a 64-slice-MDCT scanner shows good agreement on a segment-based analysis but only moderate agreement on a patient-based analysis. The diagnostic accuracy of 64-slice-MDCT coronary angiography is negatively influenced by the high pre-test probability of this symptomatic patient collective.",Mühlenbruch G; Seyfarth T; Soo CS; Pregalathan N; Mahnken AH,,2007,European radiology,Comparative Study; Evaluation Study; Journal Article,
2D,16019087,Noninvasive assessment of coronary stents in patients by 16-slice computed tomography.,"BACKGROUND: The usefulness of thin-slice multi-detector computed tomography (MDCT) has been highly expected to assess the lumens of coronary artery stents. We evaluated the usefulness of 16-slice MDCT to assess the in-stent lumen after coronary artery stenting. METHODS: In 42 consecutive patients after coronary artery stenting, retrospective ECG-gated CT-angiography using 16-slice MDCT (0.5-s rotation time, 16x0.625-mm detector collimation) was performed. The qualitative assessability of the lumens of 61 coronary stents (14 different types) by MDCT and the reasons for non-assessability were investigated. Furthermore, the evaluation of in-stent restenosis in 21 assessable stents of 16 patients, including quantitative density analysis by MDCT, was performed and the results were compared with those of conventional coronary angiography (CAG). RESULTS: Of 61 stents, 42 (68.9%) were assessable. The assessability of diameter > or =3.5-mm stents made of stainless steel or cobalt was high (88.6%, 31/35), that of 3.0-mm stents was low (57.9%, 11/19) and all 2.5-mm stents were non-assessable due to partial volume effects and metal artifacts of stents. The lumens of stents made of tantalum were totally obscured and the metal artifacts of Bestent2 (gold markers) and S670 were severer than others. All non-assessable stents due to banding artifact and calcification were implanted in segment #1-3 and #6, respectively. In comparison to CAG, MDCT correctly detected the 5 in-stent restenoses and identified absence of restenoses was influenced strongly by the stent strut. CONCLUSION: Despite some limitations, 16-slice MSCT is sufficiently useful for assessment of various coronary stents in patients and can detect in-stent restenoses of assessable stents with high accuracy in comparison to CAG.",Kitagawa T; Fujii T; Tomohiro Y; Maeda K; Kobayashi M; Kunita E; Sekiguchi Y,,2006,International journal of cardiology,Comparative Study; Evaluation Study; Journal Article,
2D,35731511,Characteristics of the Optic Nerve Head in Myopic Eyes Using Swept-Source Optical Coherence Tomography.,"PURPOSE: To investigate the characteristics of the optic nerve head (ONH) in myopia using swept-source optical coherence tomography (SS-OCT). METHODS: Participants were divided into three groups according to the axial length (AL). The optic disc morphology, retinal nerve fiber layer (RNFL) thickness, and radial peripapillary capillary (RPC) vessel density (VD), optic disc tilt, rotation, Bruch's membrane opening distance (BMOD), border length (BL), border tissue angle, focal lamina cribrosa (LC) defects, β- and γ-zone peripapillary atrophy (PPA), microvasculature dropout (MvD), choroidal thickness (CT), and the choroidal vascularity index (CVI) were compared. Linear regression analysis evaluated relationships between spherical equivalent, AL, and ONH parameters. RESULTS: One hundred five, 98, and 118 eyes were included in groups 1, 2, and 3, respectively. With AL increasing, the mean, superior and temporal CT, central mean and temporal, pericentral mean, inferior and nasal RPC VD, and temporal CVI decreased, whereas the mean and temporal RNFL thickness, optic disc, RIM and β-PPA area, presence and area of γ-PPA, BMOD and BL increased. Compared to other groups, group 3 depicted a larger cup area, more focal LC defect and total and juxtapapillary MvD; a lower central superior, inferior and nasal, pericentral superior, and temporal RPC VD. Group 1 demonstrated more tilted disc, larger inferior and nasal CT, mean, superior, inferior, and nasal CVI. CONCLUSIONS: Myopia eyes have larger ONH changes, PPAs, regional RNFL, and MvD, but smaller regional CTs, RPC VD, and CVIs. SS-OCT may be useful in detecting ONH variations during myopia.",Cheng D; Ruan K; Wu M; Qiao Y; Gao W; Lian H; Shen M; Bao F; Yang Y; Zhu J; Huang H; Meng X; Shen L; Ye Y,,2022,Investigative ophthalmology & visual science,"Journal Article; Research Support, Non-U.S. Gov't",
2D,35307869,New trend: Surgical correction of Ebstein's anomaly using modified cone repair and a combination of different techniques.,"BACKGROUND: Ebstein's anomaly,a rare cardiac disease that accounts for <1% of all congenital heart diseases, is a right ventricular myopathy with varying degrees of delamination in the endocardium under the tricuspid valve. Cone reconstruction, first described by da Silva in 2004, is a modification of the Carpentier technique. An alternative surgical treatment for Ebstein's anomaly, it is now the preferred surgical corrective technique. AIMS: This study demonstrates that our modifications of the cone repair procedure to correct Ebstein's anomaly improve valve coaptation and stabilization in the early and midterm. MATERIALS AND METHODS: Of the 134 patients diagnosed with Ebstein's anomaly in our clinic between January 2012 and October 2020, 10 underwent a cone procedure and its modifications and were thus included in the study. The mean age of these patients was 28.6 ± 18.79 years and ranged from 1 to 61 years. Thirty percent of the patients were male and 70% were female. RESULTS: The additional procedures performed were an isolated cone procedure (two patients), anomalous pulmonary venous return repair in addition to a cone procedure (one patient), single-vessel coronary artery bypass (one patient), Glenn procedure (two patients), and tricuspid ring annuloplasty (four patients). CONCLUSION: Based on the results of this study, which assesses the outcomes of patients who underwent cone repairs with surgical modifications, we argue that right ventricular oblique plication, tricuspid valve delamination, surgical valve rotation, and tricuspid ring annuloplasty protect valve coaptation and function in the early and midterm, thereby having beneficial effects on right ventricle remodeling.",Çine N; Kara KA,Ebstein's anomaly; cone repair; oblique plication of right ventricle; tricuspid ring-annuloplasty,2022,Journal of cardiac surgery,Journal Article,
2D,17089831,Towards a theory of a solution space for the biplane imaging geometry problem.,"Biplane angiographic imaging is a primary method for visual and quantitative assessment of the vasculature. In order to reliably reconstruct the three-dimensional (3D) position, orientation, and shape of the vessel structure, a key problem is to determine the rotation matrix R and the translation vector t which relate the two coordinate systems. This so-called Imaging Geometry Determination problem is well studied in the medical imaging and computer vision communities and a number of interesting approaches have been reported. Each such technique determines a solution which yields 3D vasculature reconstructions with errors comparable to other techniques. From the literature, we see that different techniques with different optimization strategies yield reconstructions with equivalent errors. We have investigated this behavior, and it appears that the error in the input data leads to this equivalence effectively yielding what we call the solution space of feasible geometries, i.e., geometries which could be solutions given the error or uncertainty in the input image data. In this paper, we lay the theoretical framework for this concept of a solution space of feasible geometries using simple schematic constructions, deriving the underlying mathematical relationships, presenting implementation details, and discussing implications and applications of the proposed idea. Because the solution space of feasible geometries encompasses equivalent solutions given the input error, the solution space approach can be used to evaluate the precision of calculated geometries or 3D data based on known or estimated uncertainties in the input image data. We also use the solution space approach to calculate an imaging geometry, i.e., a solution.",Singh V; Xu J; Hoffmann KR; Xu G; Chen Z; Gopal A,,2006,Medical physics,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",HL 52567/HL/NHLBI NIH HHS/United States
2D,23417958,3D quantitative analyses of angiogenic sprout growth dynamics.,"BACKGROUND: Zebrafish intersegmental vessel (ISV) growth is widely used to study angiogenesis and to screen drugs and toxins that perturb angiogenesis. Most current ISV growth assays observe the presence or absence of ISVs or perturbation of ISV morphology but do not measure growth dynamics. We have developed a four-dimensional (4D, space plus time) quantitative analysis of angiogenic sprout growth dynamics for characterization of both normal and perturbed growth. RESULTS: We tracked the positions of the ISV base and tip for each ISV sprout in 4D. Despite immobilization, zebrafish embryos translocated globally and non-uniformly during development. We used displacement of the ISV base and the angle between the ISV and the dorsal aorta to correct for displacement and rotation during development. From corrected tip cell coordinates, we computed average ISV trajectories. We fitted a quadratic curve to the average ISV trajectories to produce a canonical ISV trajectory for each experimental group, arsenic treated and untreated. From the canonical ISV trajectories, we computed curvature, average directed migration speed and directionality. Canonical trajectories from treated (arsenic exposed) and untreated groups differed in curvature, average directed migration speed and angle between the ISV and dorsal aorta. CONCLUSIONS: 4D analysis of angiogenic sprout growth dynamics: (1) Allows quantitative assessment of ISV growth dynamics and perturbation, and (2) provides critical inputs for computational models of angiogenesis.",Shirinifard A; McCollum CW; Bolin MB; Gustafsson JÅ; Glazier JA; Clendenon SG,,2013,Developmental dynamics : an official publication of the American Association of,"Journal Article; Research Support, Non-U.S. Gov't",
